Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
359,0.5692,0.2117,0,90,90,90,90,0,75310.24,5127.73,4871.35,2829.25,2007.52,2007.52,0.3005,0.2905,0.3262,3.0,0.12653,18.049,2.707,12.634,5.415,0.0012653,0.0009569,0.00016776,0.00105595
360,0.6143,0.263,0,90,90,90,90,0,82924.36,5437.72,5165.83,3109.15,2136.19,2136.19,0.315,0.305,0.3722,3.0,0.270055,41.285,6.193,28.899,12.385,0.00270055,0.00199178,0.0003485,0.0022777
361,0.4541,0.275,0,30,-30,-30,30,0,61213.79,4150.72,3943.18,2269.04,1564.28,1564.28,0.2896,0.2796,0.3241,3.0,0.279556,32.195,4.829,22.537,9.659,0.00279556,0.00212833,0.00036816,0.00232695
362,0.5121,0.296,90,45,0,0,45,90,67873.28,4696.22,4461.41,2596.43,1747.06,1747.06,0.2746,0.2646,0.3661,3.0,0.247734,32.373,4.856,22.661,9.712,0.00247734,0.00187026,0.00033388,0.00206804
363,0.6318,0.2919,45,-45,45,-45,45,-45,86556.6,5458.94,5185.99,3084.19,2246.82,2246.82,0.3,0.29,0.3541,3.0,0.273838,41.915,6.287,29.341,12.575,0.00273838,0.00203854,0.00033897,0.00230347
364,0.5992,0.205,0,30,-30,-30,30,0,79040.78,5386.99,5117.64,2864.42,1996.17,1996.17,0.2503,0.2403,0.3653,3.0,0.251545,37.288,5.593,26.101,11.186,0.00251545,0.00195263,0.00033023,0.00207655
365,0.5934,0.271,0,30,-30,-30,30,0,80274.46,5524.96,5248.71,2967.54,2071.17,2071.17,0.2975,0.2875,0.3454,3.0,0.201381,30.703,4.606,21.492,9.211,0.00201381,0.00155197,0.00026774,0.00166717
366,0.5493,0.2772,90,45,0,0,45,90,74787.2,5225.38,4964.11,2794.11,1842.34,1842.34,0.3177,0.3077,0.3735,3.0,0.32935,47.415,7.112,33.191,14.225,0.0032935,0.00254547,0.0004438,0.00272222
367,0.6011,0.2531,0,90,90,90,90,0,81265.24,5367.05,5098.7,3120.87,2202.87,2202.87,0.2705,0.2605,0.3405,3.0,0.114447,17.345,2.602,12.142,5.204,0.00114447,0.00083366,0.00014941,0.00096953
368,0.5365,0.193,0,60,-60,-60,60,0,71917.18,4974.97,4726.23,2650.03,1875.74,1875.74,0.2779,0.2679,0.3132,3.0,0.11496,15.742,2.361,11.019,4.723,0.0011496,0.00089105,0.00015322,0.00094927
369,0.591,0.2754,0,0,90,90,0,0,80071.99,5177.75,4918.87,2941.46,2107.2,2107.2,0.3109,0.3009,0.318,3.0,0.142348,20.69,3.103,14.483,6.207,0.00142348,0.00105506,0.00018087,0.00119875
370,0.516,0.2365,0,60,-60,-60,60,0,72137.33,4848.41,4605.99,2466.27,1877.07,1877.07,0.2843,0.2743,0.3275,3.0,0.264702,34.84,5.226,24.388,10.452,0.00264702,0.002119,0.00033808,0.00215577
371,0.5538,0.2151,45,45,-45,-45,45,45,75502.0,4663.98,4430.78,2755.86,1995.36,1995.36,0.2803,0.2703,0.3724,3.0,0.412171,54.571,8.186,38.2,16.371,0.00412171,0.00297028,0.00050594,0.00351016
372,0.4869,0.2968,0,30,-30,-30,30,0,66779.25,4544.21,4317.0,2478.42,1717.39,1717.39,0.301,0.291,0.3112,3.0,0.426113,53.686,8.053,37.58,16.106,0.00426113,0.00324923,0.00056276,0.00354427
373,0.5114,0.2335,0,60,-60,-60,60,0,70769.38,4596.42,4366.6,2617.26,1843.9,1843.9,0.3013,0.2913,0.3634,3.0,0.19744,25.489,3.823,17.842,7.647,0.0019744,0.00146083,0.00025212,0.00166363
374,0.5303,0.2667,0,30,-30,-30,30,0,70167.29,4797.29,4557.42,2750.59,1847.13,1847.13,0.2634,0.2534,0.3643,3.0,0.451354,60.876,9.131,42.613,18.263,0.00451354,0.00331982,0.00060731,0.00380692
375,0.5156,0.2767,45,-45,45,-45,45,-45,70898.79,4694.04,4459.34,2559.8,1826.97,1826.97,0.2504,0.2404,0.3401,3.0,0.089564,11.661,1.749,8.163,3.498,0.00089564,0.00068333,0.00011513,0.00074528
376,0.494,0.2923,0,90,90,90,90,0,66316.58,4208.25,3997.83,2414.82,1807.44,1807.44,0.2925,0.2825,0.3262,3.0,0.056677,6.716,1.007,4.701,2.015,0.00056677,0.00041715,7.089e-05,0.00047874
377,0.573,0.2868,0,60,-60,-60,60,0,78924.06,5209.83,4949.34,2893.3,1938.73,1938.73,0.2897,0.2797,0.3222,3.0,0.297071,43.156,6.473,30.209,12.947,0.00297071,0.00223739,0.00038277,0.00248509
378,0.5402,0.2803,0,0,90,90,0,0,73347.12,4838.54,4596.62,2725.19,1877.32,1877.32,0.2552,0.2452,0.3085,3.0,0.342916,46.45,6.967,32.515,13.935,0.00342916,0.00255669,0.0004433,0.00287998
379,0.643,0.2519,0,30,-30,-30,30,0,85387.22,5942.33,5645.21,3112.9,2296.94,2296.94,0.2828,0.2728,0.3221,3.0,0.201897,32.852,4.928,22.996,9.856,0.00201897,0.00158302,0.00026932,0.00165853
380,0.456,0.2779,0,60,-60,-60,60,0,62426.94,4121.38,3915.31,2204.85,1587.65,1587.65,0.2598,0.2498,0.3687,3.0,0.144986,16.482,2.472,11.537,4.944,0.00144986,0.00112128,0.00018481,0.00119971
381,0.5095,0.2052,0,60,-60,-60,60,0,69648.75,4702.94,4467.79,2569.13,1779.51,1779.51,0.2446,0.2346,0.317,3.0,0.189304,24.699,3.705,17.289,7.41,0.00189304,0.00144204,0.00024823,0.00157552
382,0.6317,0.2868,0,45,-45,-45,45,0,83670.28,5781.77,5492.69,3281.62,2214.76,2214.76,0.2704,0.2604,0.3461,3.0,0.302692,49.058,7.359,34.341,14.718,0.00302692,0.00224242,0.00041043,0.0025455
383,0.522,0.2533,0,90,90,90,90,0,69811.78,4690.44,4455.92,2690.77,1917.0,1917.0,0.2623,0.2523,0.3043,3.0,0.182465,24.073,3.611,16.851,7.222,0.00182465,0.00134196,0.00024138,0.00153969
384,0.5976,0.2005,45,-45,45,-45,45,-45,78542.21,5587.56,5308.18,3045.95,2212.39,2212.39,0.3162,0.3062,0.3492,3.0,0.212046,32.818,4.923,22.973,9.846,0.00212046,0.00161617,0.00029249,0.00176204
385,0.5263,0.1847,0,60,-60,-60,60,0,71991.9,4730.7,4494.17,2670.12,1803.71,1803.71,0.2438,0.2338,0.302,3.0,0.317838,42.121,6.318,29.485,12.636,0.00317838,0.00236623,0.00040955,0.00267111
386,0.536,0.286,0,90,90,90,90,0,73394.83,5002.79,4752.65,2637.95,1893.43,1893.43,0.2665,0.2565,0.3536,3.0,0.15383,21.123,3.168,14.786,6.337,0.0015383,0.0012011,0.00020146,0.00126667
387,0.5378,0.2681,0,45,-45,-45,45,0,75030.48,4847.21,4604.85,2633.47,1943.67,1943.67,0.2984,0.2884,0.3641,3.0,0.433578,58.254,8.738,40.777,17.476,0.00433578,0.00331807,0.00054348,0.00360539
388,0.6369,0.237,90,45,0,0,45,90,85780.71,5538.82,5261.88,3168.87,2296.1,2296.1,0.3039,0.2939,0.377,3.0,0.299201,46.611,6.992,32.627,13.983,0.00299201,0.00220633,0.00038036,0.00252457
389,0.4998,0.2652,0,60,-60,-60,60,0,67142.07,4276.46,4062.64,2584.31,1729.59,1729.59,0.318,0.308,0.3204,3.0,0.416055,50.775,7.616,35.542,15.232,0.00416055,0.0029471,0.00052936,0.00356192
390,0.5949,0.2755,45,45,-45,-45,45,45,81180.79,5448.02,5175.62,2995.61,2070.67,2070.67,0.2472,0.2372,0.3574,3.0,0.222707,33.727,5.059,23.609,10.118,0.00222707,0.00168882,0.00029082,0.00185721
391,0.5,0.2852,0,60,-60,-60,60,0,67882.31,4474.98,4251.23,2405.25,1750.6,1750.6,0.2772,0.2672,0.3275,3.0,0.199104,24.61,3.692,17.227,7.383,0.00199104,0.00153479,0.00025378,0.00164986
392,0.5023,0.2134,0,45,-45,-45,45,0,68495.29,4231.09,4019.54,2429.99,1856.83,1856.83,0.2599,0.2499,0.3047,3.0,0.510405,60.844,9.127,42.591,18.253,0.00510405,0.00375584,0.00062181,0.0043141
393,0.608,0.2415,0,45,-45,-45,45,0,82244.93,5404.81,5134.57,2977.02,2141.41,2141.41,0.3054,0.2954,0.3634,3.0,0.183021,27.52,4.128,19.264,8.256,0.00183021,0.00138664,0.00023423,0.00152755
394,0.5483,0.2645,0,0,90,90,0,0,73912.47,4643.53,4411.36,2661.97,1983.05,1983.05,0.3146,0.3046,0.3181,3.0,0.086628,11.325,1.699,7.927,3.397,0.00086628,0.00063815,0.00010725,0.00073166
395,0.555,0.2913,0,60,-60,-60,60,0,73850.07,4883.51,4639.33,2727.94,1968.49,1968.49,0.2419,0.2319,0.3123,3.0,0.471158,64.263,9.639,44.984,19.279,0.00471158,0.0035336,0.00060913,0.00394776
396,0.5625,0.2584,0,45,-45,-45,45,0,76497.44,5162.42,4904.3,2803.51,1972.66,1972.66,0.2565,0.2465,0.325,3.0,0.319945,45.743,6.861,32.02,13.723,0.00319945,0.00244746,0.00041858,0.00265824
397,0.4856,0.1824,0,30,-30,-30,30,0,65617.03,4475.23,4251.47,2484.31,1745.31,1745.31,0.251,0.241,0.3451,3.0,0.125149,15.607,2.341,10.925,4.682,0.00125149,0.00094231,0.00016649,0.0010462
398,0.4623,0.2317,0,0,90,90,0,0,62709.47,4050.51,3847.98,2353.68,1760.38,1760.38,0.3015,0.2915,0.3502,3.0,0.251923,28.82,4.323,20.174,8.646,0.00251923,0.0018367,0.00032171,0.00213455
399,0.5577,0.1837,45,-45,45,-45,45,-45,74716.41,4780.9,4541.85,2742.89,1866.42,1866.42,0.2781,0.2681,0.3497,3.0,0.372176,50.09,7.514,35.063,15.027,0.00372176,0.00273928,0.00046928,0.00314315
400,0.5327,0.2364,0,60,-60,-60,60,0,71048.73,4989.64,4740.16,2646.82,1833.03,1833.03,0.2626,0.2526,0.3546,3.0,0.173836,23.838,3.576,16.687,7.151,0.00173836,0.00135094,0.00023486,0.00143325
401,0.5785,0.2583,0,90,90,90,90,0,77864.99,5016.13,4765.32,2916.55,1935.57,1935.57,0.2627,0.2527,0.3339,3.0,0.307695,43.601,6.54,30.521,13.08,0.00307695,0.00224242,0.00039197,0.00260764
402,0.5055,0.224,45,45,-45,-45,45,45,69651.54,4688.56,4454.13,2554.47,1815.77,1815.77,0.2965,0.2865,0.3065,3.0,0.226549,29.446,4.417,20.612,8.834,0.00226549,0.00172911,0.00029594,0.00188414
403,0.544,0.1834,0,90,90,90,90,0,72315.48,4759.97,4521.97,2747.56,1900.42,1900.42,0.2896,0.2796,0.3374,3.0,0.350155,46.976,7.046,32.883,14.093,0.00350155,0.00256458,0.00045471,0.00296066
404,0.5241,0.2044,45,-45,45,-45,45,-45,72946.82,4534.78,4308.04,2600.86,1836.57,1836.57,0.3162,0.3062,0.3016,3.0,0.10312,13.169,1.975,9.218,3.951,0.0010312,0.0007595,0.00012637,0.0008712
405,0.5337,0.2661,0,30,-30,-30,30,0,70279.25,4777.77,4538.88,2569.01,1815.24,1815.24,0.3143,0.3043,0.3204,3.0,0.461943,60.938,9.141,42.656,18.281,0.00461943,0.00355805,0.00060696,0.00382633
406,0.4785,0.2596,0,0,90,90,0,0,64957.7,4453.86,4231.17,2234.95,1633.13,1633.13,0.272,0.262,0.3107,3.0,0.301762,36.314,5.447,25.42,10.894,0.00301762,0.00243721,0.00039133,0.00244599
407,0.4885,0.1972,90,45,0,0,45,90,65647.88,4568.48,4340.05,2398.39,1706.48,1706.48,0.2838,0.2738,0.3656,3.0,0.428305,53.615,8.042,37.531,16.085,0.00428305,0.00335318,0.00057169,0.00352076
408,0.5523,0.2369,0,0,90,90,0,0,74478.76,4938.74,4691.81,2741.56,1920.12,1920.12,0.2836,0.2736,0.3528,3.0,0.424921,58.506,8.776,40.954,17.552,0.00424921,0.00320104,0.00054987,0.00355388
409,0.5361,0.2061,0,45,-45,-45,45,0,72160.17,4708.69,4473.25,2766.37,1890.44,1890.44,0.3063,0.2963,0.3111,3.0,0.436163,58.163,8.725,40.714,17.449,0.00436163,0.00315378,0.00056422,0.00370571
410,0.632,0.2438,45,-45,45,-45,45,-45,85212.79,5732.29,5445.68,3270.96,2216.26,2216.26,0.2674,0.2574,0.3519,3.0,0.268772,43.272,6.491,30.29,12.982,0.00268772,0.00198437,0.00035547,0.00226465
411,0.5495,0.1912,45,45,-45,-45,45,45,73297.41,4742.78,4505.64,2726.79,1927.96,1927.96,0.2568,0.2468,0.3073,3.0,0.082499,11.019,1.653,7.713,3.306,0.00082499,0.00060616,0.00010524,0.00069701
412,0.6251,0.2154,0,45,-45,-45,45,0,82937.54,5733.46,5446.79,3054.72,2270.16,2270.16,0.2875,0.2775,0.3791,3.0,0.210362,33.2,4.98,23.24,9.96,0.00210362,0.00163027,0.00028021,0.00173718
413,0.6394,0.1927,45,-45,45,-45,45,-45,86337.78,5600.49,5320.46,3167.51,2177.25,2177.25,0.2472,0.2372,0.3398,3.0,0.201085,31.572,4.736,22.101,9.472,0.00201085,0.00149514,0.00025598,0.00169123
414,0.4816,0.2319,45,-45,45,-45,45,-45,63458.35,4379.16,4160.2,2378.85,1756.05,1756.05,0.2461,0.2361,0.3162,3.0,0.121734,14.759,2.214,10.332,4.428,0.00121734,0.00093066,0.00016281,0.00101111
415,0.461,0.1967,45,45,-45,-45,45,45,61914.38,4039.71,3837.73,2231.84,1542.67,1542.67,0.2698,0.2598,0.3057,3.0,0.308725,34.731,5.21,24.312,10.419,0.00308725,0.00233427,0.00039267,0.00257925
416,0.494,0.236,0,0,90,90,0,0,68842.62,4350.76,4133.22,2489.39,1761.21,1761.21,0.2659,0.2559,0.319,3.0,0.524969,64.263,9.639,44.984,19.279,0.00524969,0.00387222,0.00065344,0.00443117
417,0.4528,0.1914,0,0,90,90,0,0,59874.01,3919.34,3723.37,2174.33,1652.52,1652.52,0.2593,0.2493,0.3431,3.0,0.295533,32.293,4.844,22.605,9.688,0.00295533,0.00222779,0.00037754,0.00247182
418,0.4868,0.2394,45,-45,45,-45,45,-45,65342.12,4283.76,4069.57,2447.42,1723.66,1723.66,0.3144,0.3044,0.3034,3.0,0.12728,15.326,2.299,10.728,4.598,0.0012728,0.00093929,0.00016418,0.00107328
419,0.563,0.2458,90,45,0,0,45,90,76957.09,4854.0,4611.3,2729.09,1932.83,1932.83,0.2652,0.2552,0.3722,3.0,0.160215,21.776,3.266,15.243,6.533,0.00160215,0.00119689,0.00019808,0.00134587
420,0.6093,0.2936,0,30,-30,-30,30,0,82504.98,5663.6,5380.42,3074.65,2135.93,2135.93,0.2684,0.2584,0.3512,3.0,0.299072,46.892,7.034,32.824,14.067,0.00299072,0.00228765,0.00039784,0.00248384
421,0.5592,0.1949,0,0,90,90,0,0,76980.23,5025.46,4774.19,2874.61,1858.8,1858.8,0.3003,0.2903,0.3108,3.0,0.214278,30.28,4.542,21.196,9.084,0.00214278,0.00158005,0.00027534,0.0018076
422,0.6349,0.2377,45,-45,45,-45,45,-45,85226.28,5718.26,5432.35,3054.48,2184.26,2184.26,0.2935,0.2835,0.3438,3.0,0.146245,23.049,3.457,16.135,6.915,0.00146245,0.00113192,0.00018932,0.00120925
423,0.5397,0.2794,0,45,-45,-45,45,0,72316.0,4821.56,4580.48,2650.35,1839.28,1839.28,0.2963,0.2863,0.3129,3.0,0.427033,57.235,8.585,40.065,17.171,0.00427033,0.00323931,0.00055402,0.00356121
424,0.5672,0.1943,45,-45,45,-45,45,-45,76857.21,5360.17,5092.16,2796.04,2000.1,2000.1,0.2714,0.2614,0.3518,3.0,0.370446,54.299,8.145,38.009,16.29,0.00370446,0.00291299,0.00049454,0.00303902
425,0.5339,0.201,90,45,0,0,45,90,71651.75,4600.22,4370.21,2621.3,1837.66,1837.66,0.2696,0.2596,0.3219,3.0,0.06444,8.329,1.249,5.83,2.499,0.0006444,0.00047662,8.137e-05,0.00054318
426,0.5959,0.2172,0,30,-30,-30,30,0,79199.39,5316.95,5051.1,2937.85,2115.58,2115.58,0.2543,0.2443,0.3081,3.0,0.268803,39.784,5.968,27.849,11.935,0.00268803,0.00203127,0.00035163,0.00224473
427,0.603,0.2803,0,45,-45,-45,45,0,82474.21,5467.66,5194.28,3149.14,2181.86,2181.86,0.3124,0.3024,0.3236,3.0,0.118414,18.235,2.735,12.764,5.47,0.00118414,0.00086856,0.00015477,0.00100051
428,0.5818,0.2472,0,45,-45,-45,45,0,78970.41,5274.24,5010.52,2949.98,2122.27,2122.27,0.3132,0.3032,0.3415,3.0,0.171798,25.312,3.797,17.718,7.594,0.00171798,0.00128705,0.00022437,0.00143974
429,0.5143,0.2793,0,60,-60,-60,60,0,69668.26,4683.19,4449.03,2490.23,1723.01,1723.01,0.2654,0.2554,0.3387,3.0,0.4029,51.933,7.79,36.353,15.58,0.004029,0.00312824,0.00052181,0.0033268
430,0.6402,0.2758,0,60,-60,-60,60,0,86663.88,5578.24,5299.32,3173.35,2270.09,2270.09,0.2783,0.2683,0.3639,3.0,0.396857,62.17,9.326,43.519,18.651,0.00396857,0.00293872,0.00050216,0.00334355
431,0.6317,0.2677,0,90,90,90,90,0,85074.16,5699.34,5414.37,3149.55,2209.46,2209.46,0.3085,0.2985,0.3567,3.0,0.288626,45.793,6.869,32.055,13.738,0.00288626,0.00218094,0.00037679,0.00241045
432,0.6091,0.2269,0,30,-30,-30,30,0,82021.72,5491.43,5216.86,3099.07,2127.04,2127.04,0.2425,0.2325,0.3552,3.0,0.255764,39.331,5.9,27.532,11.799,0.00255764,0.00190369,0.00033566,0.00214868
433,0.537,0.2299,0,30,-30,-30,30,0,73536.35,4940.18,4693.17,2720.41,1874.64,1874.64,0.3126,0.3026,0.3057,3.0,0.156392,21.485,3.223,15.04,6.446,0.00156392,0.00118466,0.00020452,0.00130472
434,0.5402,0.2049,0,60,-60,-60,60,0,73423.3,4738.05,4501.15,2696.44,1885.95,1885.95,0.2599,0.2499,0.3016,3.0,0.284287,37.83,5.675,26.481,11.349,0.00284287,0.00210445,0.00036066,0.0023953
435,0.5308,0.2444,45,45,-45,-45,45,45,70672.63,4385.65,4166.37,2625.3,1838.13,1838.13,0.2844,0.2744,0.3489,3.0,0.271072,33.859,5.079,23.701,10.158,0.00271072,0.00193455,0.00033536,0.00231609
436,0.6472,0.2585,45,45,-45,-45,45,45,88599.46,5821.57,5530.49,3186.76,2179.28,2179.28,0.3135,0.3035,0.3645,3.0,0.390255,63.094,9.464,44.166,18.928,0.00390255,0.00296981,0.00049849,0.00325138
437,0.4708,0.1961,45,45,-45,-45,45,45,64223.98,3972.75,3774.11,2387.16,1688.78,1688.78,0.2624,0.2524,0.3415,3.0,0.092087,10.43,1.564,7.301,3.129,0.00092087,0.00065538,0.00011368,0.00078761
438,0.4735,0.2862,0,30,-30,-30,30,0,66142.45,4208.71,3998.28,2414.02,1536.31,1536.31,0.2892,0.2792,0.3597,3.0,0.13954,16.533,2.48,11.573,4.96,0.0013954,0.00102731,0.00017497,0.00117849
439,0.6002,0.2028,0,60,-60,-60,60,0,81685.74,5280.65,5016.62,2964.56,2157.1,2157.1,0.2491,0.2391,0.3454,3.0,0.071557,10.572,1.586,7.401,3.172,0.00071557,0.00053494,9.06e-05,0.00060063
440,0.4871,0.2615,0,30,-30,-30,30,0,64559.17,4437.45,4215.58,2480.33,1700.45,1700.45,0.2668,0.2568,0.3122,3.0,0.08557,10.6,1.59,7.42,3.18,0.0008557,0.00064104,0.00011493,0.00071662
441,0.4937,0.2847,45,45,-45,-45,45,45,67066.83,4432.44,4210.82,2405.24,1697.43,1697.43,0.2986,0.2886,0.3618,3.0,0.339377,41.666,6.25,29.166,12.5,0.00339377,0.00259842,0.00043488,0.00282004
442,0.4634,0.2006,0,45,-45,-45,45,0,66708.25,4213.66,4002.98,2294.33,1693.02,1693.02,0.2781,0.2681,0.3407,3.0,0.243714,28.493,4.274,19.945,8.548,0.00243714,0.00186282,0.00029899,0.0020286
443,0.5936,0.2116,45,-45,45,-45,45,-45,81881.58,5398.82,5128.88,2917.67,2043.34,2043.34,0.2549,0.2449,0.3425,3.0,0.394526,58.928,8.839,41.25,17.678,0.00394526,0.00302953,0.00050377,0.00327449
444,0.6192,0.1885,0,90,90,90,90,0,81998.93,5373.94,5105.24,3128.18,2100.05,2100.05,0.311,0.301,0.3227,3.0,0.057564,8.739,1.311,6.117,2.622,0.00057564,0.00041904,7.46e-05,0.00048785
445,0.6134,0.2623,45,-45,45,-45,45,-45,84081.42,5611.56,5330.99,3071.37,2109.55,2109.55,0.309,0.299,0.3169,3.0,0.246149,38.349,5.752,26.844,11.505,0.00246149,0.00187288,0.00031926,0.00205016
446,0.4584,0.2286,0,30,-30,-30,30,0,60942.98,4306.4,4091.08,2296.82,1533.6,1533.6,0.2892,0.2792,0.3104,3.0,0.468501,55.532,8.33,38.873,16.66,0.00468501,0.00362669,0.00063785,0.0038686
447,0.6293,0.1988,45,45,-45,-45,45,45,87504.4,5814.37,5523.65,3195.92,2231.44,2231.44,0.246,0.236,0.3472,3.0,0.391545,63.288,9.493,44.301,18.986,0.00391545,0.00297039,0.00050628,0.0032654
448,0.6119,0.2284,0,45,-45,-45,45,0,80159.61,5554.99,5277.24,3011.03,2042.25,2042.25,0.2971,0.2871,0.3798,3.0,0.222547,34.203,5.13,23.942,10.261,0.00222547,0.00170387,0.00029868,0.00184714
449,0.5201,0.1815,0,30,-30,-30,30,0,71554.6,4629.01,4397.56,2602.35,1835.24,1835.24,0.3038,0.2938,0.3207,3.0,0.10788,13.977,2.097,9.784,4.193,0.0010788,0.00080565,0.00013674,0.00090585
450,0.6139,0.1804,0,60,-60,-60,60,0,84334.37,5597.14,5317.28,3172.89,2129.49,2129.49,0.3059,0.2959,0.3441,3.0,0.2867,44.999,6.75,31.5,13.5,0.002867,0.00212738,0.00037351,0.00241192
451,0.5737,0.1871,45,45,-45,-45,45,45,77927.27,5455.89,5183.1,2828.44,2053.22,2053.22,0.2481,0.2381,0.3752,3.0,0.127019,18.913,2.837,13.239,5.674,0.00127019,0.00100301,0.00016989,0.00103996
452,0.4635,0.2369,0,60,-60,-60,60,0,63295.24,4202.37,3992.25,2331.19,1618.4,1618.4,0.3049,0.2949,0.3102,3.0,0.467148,54.718,8.208,38.302,16.415,0.00467148,0.00352081,0.00060514,0.00390621
453,0.4749,0.2482,0,60,-60,-60,60,0,63212.03,4307.62,4092.24,2372.99,1672.99,1672.99,0.3066,0.2966,0.3146,3.0,0.166752,19.972,2.996,13.981,5.992,0.00166752,0.00126248,0.00022117,0.00139096
454,0.4637,0.2587,0,0,90,90,0,0,63174.26,3897.55,3702.67,2270.92,1671.9,1671.9,0.2789,0.2689,0.3593,3.0,0.085082,9.379,1.407,6.565,2.814,0.00085082,0.00061953,0.00010393,0.00072194
455,0.4986,0.245,45,45,-45,-45,45,45,66744.89,4617.17,4386.31,2452.51,1721.07,1721.07,0.2746,0.2646,0.3227,3.0,0.354775,45.049,6.757,31.534,13.515,0.00354775,0.00275527,0.00047246,0.00292704
456,0.4738,0.2414,45,45,-45,-45,45,45,62659.1,4323.08,4106.93,2479.47,1677.87,1677.87,0.3117,0.3017,0.3021,3.0,0.131598,15.994,2.399,11.195,4.798,0.00131598,0.00096755,0.00017867,0.00110987
457,0.5544,0.2184,0,45,-45,-45,45,0,71796.88,5109.27,4853.81,2744.17,1919.88,1919.88,0.2976,0.2876,0.3466,3.0,0.14308,20.161,3.024,14.113,6.048,0.0014308,0.00110201,0.00019656,0.00118377
458,0.4902,0.2712,0,30,-30,-30,30,0,65647.21,4175.75,3966.96,2399.07,1779.78,1779.78,0.3005,0.2905,0.3126,3.0,0.311975,36.691,5.504,25.684,11.007,0.00311975,0.00229406,0.00039124,0.00263599
459,0.6057,0.2758,0,60,-60,-60,60,0,81232.13,5615.37,5334.6,2984.96,2090.08,2090.08,0.27,0.26,0.37,3.0,0.340675,52.623,7.893,36.836,15.787,0.00340675,0.00264441,0.00045347,0.00281138
460,0.4827,0.2246,0,90,90,90,90,0,62308.93,4393.12,4173.46,2415.7,1691.57,1691.57,0.2411,0.2311,0.3002,3.0,0.077715,9.482,1.422,6.637,2.845,0.00077715,0.00058878,0.00010653,0.00064752
461,0.5521,0.2166,0,60,-60,-60,60,0,78166.37,4861.81,4618.72,2766.67,1857.68,1857.68,0.251,0.241,0.3189,3.0,0.127787,17.458,2.619,12.221,5.238,0.00127787,0.00094654,0.00015634,0.00107728
462,0.456,0.217,0,60,-60,-60,60,0,62237.56,3838.02,3646.12,2390.05,1536.29,1536.29,0.3063,0.2963,0.3189,3.0,0.525939,58.06,8.709,40.642,17.418,0.00525939,0.00364386,0.00065301,0.00453827
463,0.5093,0.2162,45,-45,45,-45,45,-45,68787.31,4546.02,4318.72,2424.07,1838.56,1838.56,0.2705,0.2605,0.3391,3.0,0.071281,8.929,1.339,6.25,2.679,0.00071281,0.00055252,9.086e-05,0.00058924
464,0.5609,0.1824,45,-45,45,-45,45,-45,73021.22,5109.56,4854.09,2835.87,1953.32,1953.32,0.2667,0.2567,0.3119,3.0,0.402934,57.34,8.601,40.138,17.202,0.00402934,0.00303293,0.00054967,0.00336662
465,0.5668,0.1854,0,0,90,90,0,0,76084.58,5034.13,4782.43,2951.34,2001.47,2001.47,0.2521,0.2421,0.3132,3.0,0.396057,56.421,8.463,39.495,16.926,0.00396057,0.00286757,0.00051909,0.00336232
466,0.5817,0.299,0,30,-30,-30,30,0,79068.21,5208.47,4948.05,2900.29,2072.78,2072.78,0.2797,0.2697,0.3524,3.0,0.144753,21.04,3.156,14.728,6.312,0.00144753,0.00108816,0.00018627,0.00121186
467,0.5573,0.2085,0,30,-30,-30,30,0,73414.12,4995.52,4745.75,2757.97,1884.2,1884.2,0.3092,0.2992,0.3224,3.0,0.405924,56.42,8.463,39.494,16.926,0.00405924,0.00306855,0.00053796,0.00338822
468,0.6052,0.1935,45,45,-45,-45,45,45,81240.91,5403.99,5133.79,3062.49,2036.63,2036.63,0.2486,0.2386,0.3217,3.0,0.161726,24.505,3.676,17.153,7.351,0.00161726,0.00120025,0.00021114,0.00136038
469,0.5215,0.2375,0,45,-45,-45,45,0,70705.51,4703.57,4468.4,2579.73,1774.62,1774.62,0.2768,0.2668,0.3105,3.0,0.273551,35.745,5.362,25.022,10.724,0.00273551,0.00207843,0.00035389,0.00227988
470,0.5295,0.2294,90,45,0,0,45,90,71383.01,4955.96,4708.16,2615.48,1865.47,1865.47,0.3102,0.3002,0.3098,3.0,0.13027,17.719,2.658,12.404,5.316,0.0013027,0.00101622,0.00017376,0.00107261
471,0.4729,0.216,90,45,0,0,45,90,63637.29,4125.65,3919.36,2438.42,1670.55,1670.55,0.3019,0.2919,0.368,3.0,0.267683,31.329,4.699,21.93,9.399,0.00267683,0.00192718,0.00034461,0.00227808
472,0.5967,0.2469,45,-45,45,-45,45,-45,79715.5,5219.44,4958.47,3027.0,2096.87,2096.87,0.2654,0.2554,0.3523,3.0,0.346529,51.045,7.657,35.732,15.314,0.00346529,0.00252951,0.00044824,0.00293396
